Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2014);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;20651;"Annual Review of Immunology";journal;"15453278, 07320582";35,941;Q1;279;22;75;4220;3646;75;45,15;191,82;United States;"Annual Reviews Inc.";"1983-ongoing";"Immunology (Q1); Immunology and Allergy (Q1)"
2;21318;"Nature Reviews Immunology";journal;"14741733";27,596;Q1;351;169;563;8289;8547;206;39,37;49,05;United Kingdom;"Nature Publishing Group";"2001-ongoing";"Immunology (Q1); Medicine (miscellaneous) (Q1)"
3;16115;"Nature Biotechnology";journal;"10870156";16,609;Q1;399;365;1068;6113;13714;525;25,56;16,75;United Kingdom;"Nature Publishing Group";"1990-ongoing";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
4;20798;"Immunity";journal;"10974180, 10747613";16,417;Q1;355;227;699;9419;11823;670;17,95;41,49;United States;"Cell Press";"1994-ongoing";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
5;21315;"Nature Immunology";journal;"15292908, 15292916";14,632;Q1;344;198;799;7501;10262;608;13,64;37,88;United Kingdom;"Nature Publishing Group";"2000-ongoing";"Immunology (Q1)"
6;20313;"Nature Reviews Microbiology";journal;"17401526";12,766;Q1;250;159;539;7766;5914;262;22,01;48,84;United Kingdom;"Nature Publishing Group";"2003-ongoing";"Immunology and Microbiology (miscellaneous)  (Q1)"
7;21272;"Journal of Experimental Medicine";journal;"00221007";11,788;Q1;411;237;661;9679;9244;625;13,84;40,84;United States;"Rockefeller University Press";"1945-ongoing";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
8;20278;"Microbiology and Molecular Biology Reviews";journal;"10922172";10,247;Q1;229;24;80;6495;1432;77;16,27;270,63;United States;"American Society for Microbiology";"1997-ongoing";"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
9;4700152228;"Molecular Systems Biology";journal;"17444292";10,188;Q1;127;57;261;3665;3562;246;11,39;64,30;United States;"Wiley-Blackwell";"2005-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
10;19614;"Annual Review of Microbiology";journal;"00664227, 15453251";8,991;Q1;175;26;87;3202;1259;86;13,76;123,15;United States;"Annual Reviews Inc.";"1948, 1950-1958, 1960, 1962-ongoing";"Microbiology (Q1)"
11;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";8,939;Q1;245;40;101;11625;2249;88;21,53;290,63;United States;"American Society for Microbiology";"1988-ongoing";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
12;17435;"EMBO Journal";journal;"02614189, 14602075";8,272;Q1;368;274;1182;13170;10914;1136;9,26;48,07;Germany;"Wiley-Blackwell";"1982-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
13;5300152732;"Cell Host and Microbe";journal;"19313128";8,156;Q1;147;186;464;7272;4750;451;10,42;39,10;United States;"Cell Press";"2007-ongoing";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
14;21365;"Trends in Immunology";journal;"14714906, 14714981";8,096;Q1;209;85;238;6247;3026;234;12,22;73,49;Netherlands;"Elsevier BV";"1987-1990, 1993-1994, 2001-ongoing";"Immunology (Q1); Immunology and Allergy (Q1)"
15;20810;"Immunological Reviews";journal;"01052896, 1600065X";7,889;Q1;197;101;329;13866;4091;315;11,47;137,29;United Kingdom;"Blackwell Publishing Inc.";"1969-ongoing";"Immunology (Q1); Immunology and Allergy (Q1)"
16;21100242814;"eLife";journal;"2050084X";7,888;Q1;93;673;373;23541;2594;340;7,63;34,98;United Kingdom;"eLife Sciences Publications";"2012-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
17;19708;"FEMS Microbiology Reviews";journal;"01686445";7,192;Q1;187;48;145;10810;2159;136;15,21;225,21;United Kingdom;"Oxford University Press";"1985-ongoing";"Infectious Diseases (Q1); Microbiology (Q1)"
18;12977;"PLoS Biology";journal;"15449173, 15457885";6,814;Q1;234;281;783;12380;6425;754;7,20;44,06;United States;"Public Library of Science";"2003-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
