Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;20651;Annual Review of Immunology;journal;15453278, 07320582;39.266;Q1;309;27;84;4591;4204;84;50.63;170.04;United States;Northern America;Annual Reviews Inc.;1983-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
2;28773;Ca-A Cancer Journal for Clinicians;journal;15424863, 00079235;22.782;Q1;182;38;102;1943;4061;83;46.24;51.13;United States;Northern America;Wiley-Blackwell;1950-2021;"Hematology (Q1); Oncology (Q1)"
3;21315;Nature Immunology;journal;15292908, 15292916;20.217;-;403;219;643;7906;11189;526;17.15;36.1;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Immunology (Q1)
4;24004;Physiological Reviews;journal;15221210, 00319333;19.714;Q1;358;33;100;16153;3714;100;33.12;489.48;United States;Northern America;American Physiological Society;1945-2021;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
5;20798;Immunity;journal;10974180, 10747613;15.893;Q1;417;187;496;7843;7857;477;14.82;41.94;United States;Northern America;Cell Press;1994-2021;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
6;21318;Nature Reviews Immunology;journal;14741741, 14741733;14.196;Q1;417;201;501;8971;7733;396;12.88;44.63;United Kingdom;Western Europe;Nature Publishing Group;2001-2021;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
7;21272;Journal of Experimental Medicine;journal;00221007, 15409538;13.089;Q1;462;310;1009;13195;15796;997;16.12;42.56;United States;Northern America;Rockefeller University Press;1909-1910, 1929, 1938, 1945-2021;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
8;29093;Cancer Cell;journal;15356108, 18783686;12.992;Q1;359;121;382;4392;6566;379;16.98;36.3;United States;Northern America;Cell Press;2002-2021;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
9;20278;Microbiology and Molecular Biology Reviews;journal;10985557, 10922172;12.015;-;256;24;96;6378;1834;95;15.74;265.75;United States;Northern America;American Society for Microbiology;1997-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
10;12464;Nature Reviews Cancer;journal;1474175X, 14741768;11.639;Q1;462;206;592;9813;8582;469;13.07;47.64;United Kingdom;Western Europe;Nature Publishing Group;2001-2021;"Cancer Research (Q1); Oncology (Q1)"
11;26038;Endocrine Reviews;journal;19457189, 0163769X;11.547;Q1;283;33;109;9106;2816;106;20.3;275.94;United States;Northern America;The Endocrine Society;1980-2021;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
12;19614;Annual Review of Microbiology;journal;00664227, 15453251;10.501;-;199;28;74;2854;1120;71;14.61;101.93;United States;Northern America;Annual Reviews Inc.;1948, 1950-1958, 1960, 1962-2020;Microbiology (Q1)
13;15847;New England Journal of Medicine;journal;00284793, 15334406;10.481;Q1;1079;1675;4193;18286;61269;2108;13.71;10.92;United States;Northern America;Massachussetts Medical Society;1945-2021;Medicine (miscellaneous) (Q1)
14;22657;Accounts of Chemical Research;journal;00014842, 15204898;10.191;Q1;415;153;311;8084;5145;305;16.13;52.84;United States;Northern America;American Chemical Society;1968-2021;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
15;21708;Annual Review of Genomics and Human Genetics;journal;15278204, 1545293X;10.026;Q1;121;16;53;1878;716;53;11.67;117.38;United States;Northern America;Annual Reviews Inc.;2000-2021;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
16;17435;EMBO Journal;journal;02614189, 14602075;9.889;Q1;405;443;1374;21133;13486;1371;9.05;47.7;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
17;21100228547;JAMA Psychiatry;journal;21686238, 2168622X;9.422;Q1;380;174;424;7345;7021;400;16.2;42.21;United States;Northern America;American Medical Association;2013-2021;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
18;22214;Genome Research;journal;15495469, 10889051;9.062;Q1;305;200;651;9742;7791;645;11.78;48.71;United States;Northern America;Cold Spring Harbor Laboratory Press;1991-2021;"Genetics (Q1); Genetics (clinical) (Q1)"
19;15819;Nature Medicine;journal;1546170X, 10788956;8.955;Q1;576;409;1312;7057;15037;950;10.06;17.25;United Kingdom;Western Europe;Nature Publishing Group;1995-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
20;18555;Journal of Cell Biology;journal;15408140, 00219525;8.781;Q1;394;557;1393;19843;12183;1386;7.58;35.62;United States;Northern America;Rockefeller University Press;1961-2021;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)"
21;15870;Journal of Clinical Investigation;journal;00219738, 15588238;8.586;Q1;505;457;1300;22823;18691;1257;14.54;49.94;United States;Northern America;The American Society for Clinical Investigation;1945-2021;Medicine (miscellaneous) (Q1)
22;18991;Nature Reviews Genetics;journal;14710056, 14710064;8.58;Q1;384;213;609;8369;5953;490;9.73;39.29;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
23;20810;Immunological Reviews;journal;01052896, 1600065X;8.468;Q1;234;110;365;13307;4305;355;11.16;120.97;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1969-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
24;22401;Journal of the American College of Cardiology;journal;15583597, 07351097;7.987;Q1;451;819;2580;20856;23898;1822;9.23;25.47;United States;Northern America;Elsevier USA;1983-2021;Cardiology and Cardiovascular Medicine (Q1)
25;20313;Nature Reviews Microbiology;journal;17401534, 17401526;7.949;-;323;188;590;8236;4308;298;7.37;43.81;United Kingdom;Western Europe;Nature Publishing Group;2003-2021;Immunology and Microbiology (miscellaneous)  (Q1)
26;29709;Reports on Progress in Physics;journal;13616633, 00344885;7.788;Q1;223;38;141;8678;1757;141;12.85;228.37;United Kingdom;Western Europe;IOP Publishing Ltd.;1934-1942, 1944, 1947, 1949-2021;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
27;20425;Nature Reviews Drug Discovery;journal;14741784, 14741776;7.774;Q1;348;158;818;7071;5339;294;7.01;44.75;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
28;17421;Cytokine and Growth Factor Reviews;journal;18790305, 13596101;7.411;Q1;168;54;124;4660;1556;117;12.72;86.3;United Kingdom;Western Europe;Elsevier BV;1990-1992, 1994-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Endocrinology, Diabetes and Metabolism (Q1); Immunology (Q1); Immunology and Allergy (Q1)"
29;73008;Vital and health statistics. Series 2, Data evaluation and methods research;journal;00832057, 23330872;7.163;Q1;28;0;5;0;23;5;5;0;United States;Northern America;U.S. National Center for Health Statistics;1965, 1970, 1977-1982, 1985-1989, 1991-1994, 1996-2001, 2003-2006, 2008, 2010-2021;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
30;85291;JAMA - Journal of the American Medical Association;journal;15383598, 00987484, 00029955;7.013;Q1;709;1100;3334;16910;30475;1875;8.4;15.37;United States;Northern America;American Medical Association;1883-2021;Medicine (miscellaneous) (Q1)
31;21365;Trends in Immunology;journal;14714906, 14714981;6.946;Q1;236;86;318;5039;3525;305;10.19;58.59;United Kingdom;Western Europe;Elsevier Ltd.;1987-1990, 1993-1994, 2001-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
32;29949;Journal of Clinical Oncology;journal;15277755, 0732183X;6.889;Q1;574;1206;3433;32321;36331;2372;10.28;26.8;United States;Northern America;American Society of Clinical Oncology;1983-2021;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
33;19651;Clinical Microbiology Reviews;journal;08938512, 10986618;6.808;Q1;296;31;119;7142;2100;119;18.21;230.39;United States;Northern America;American Society for Microbiology;1988-2021;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
34;21677;American Journal of Human Genetics;journal;15376605, 00029297;6.785;Q1;310;249;715;9920;8353;653;10.7;39.84;United States;Northern America;Cell Press;1950-2021;"Genetics (Q1); Genetics (clinical) (Q1)"
35;20095;Vital and health statistics. Series 23, Data from the National Survey of Family Growth;book series;02785234;6.665;Q1;13;0;3;0;63;3;12;0;United States;Northern America;US Center for Health Statistics;1979-1982, 1986-1988, 1995-1998, 2001-2006, 2008, 2010-2012;"Family Practice (Q1); Public Health, Environmental and Occupational Health (Q1)"
36;22581;Circulation;journal;00097322, 15244539;6.534;Q1;630;1241;4142;34616;43528;3425;9.38;27.89;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1950-2021;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
37;19434;MMWR Recommendations and Reports;journal;10575987, 15458601;6.472;Q1;148;9;50;129;1098;50;25.49;14.33;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
38;27498;Annual Review of Medicine;journal;1545326X, 00664219;6.392;Q1;165;33;95;2527;1351;95;15.65;76.58;United States;Northern America;Annual Reviews Inc.;1950-1958, 1960-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
39;21359;Seminars in Immunology;journal;10445323, 10963618;6.364;Q1;131;49;147;4187;1138;129;6.67;85.45;United States;Northern America;Academic Press Inc.;1989-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
40;26555;Annual Review of Physical Chemistry;journal;0066426X, 15451593;6.329;-;174;28;63;2885;691;60;9.52;103.04;United States;Northern America;Annual Reviews Inc.;1975, 1983, 1985, 1988-2021;Physical and Theoretical Chemistry (Q1)
41;12459;Journal of the National Cancer Institute;journal;14602105, 00278874;6.26;Q1;367;391;1336;7203;8525;640;6.83;18.42;United Kingdom;Western Europe;Oxford University Press;1940-2021;"Cancer Research (Q1); Oncology (Q1)"
42;23063;Circulation Research;journal;00097330, 15244571;6.122;Q1;352;422;1243;18636;11350;974;8.05;44.16;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1953-2021;"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)"
43;18797;Current Opinion in Immunology;journal;09527915;5.931;Q1;199;110;340;5492;2888;300;8.89;49.93;United Kingdom;Western Europe;Elsevier Ltd.;1988-2022;"Immunology (Q1); Immunology and Allergy (Q1)"
44;16715;Annual Review of Phytopathology;journal;00664286, 15452107;5.78;-;167;1;63;0;851;63;12.38;0;United States;Northern America;Annual Reviews Inc.;1973, 1981, 1987, 1989-2021;Plant Science (Q1)
45;22266;Human Molecular Genetics;journal;14602083, 09646906;5.667;Q1;284;311;1064;16141;9488;1062;8.83;51.9;United Kingdom;Western Europe;Oxford University Press;1992-2021;"Genetics (Q1); Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
46;16590;Lancet, The;journal;01406736, 1474547X;5.547;Q1;807;1634;5147;25471;34629;2011;6.59;15.59;United Kingdom;Western Europe;Elsevier Ltd.;1823-2021;Medicine (miscellaneous) (Q1)
47;71056;MMWR Surveillance Summaries;journal;15458636, 15460738;5.512;Q1;104;14;34;0;567;34;14.22;0;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
48;25454;Blood;journal;15280020, 00064971;5.414;Q1;484;1586;4362;57809;38168;3899;8.38;36.45;United States;Northern America;Elsevier BV;1946-2021;"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)"
49;25487;Diabetes;journal;00121797;5.323;Q1;345;407;1463;15377;13691;1459;9.01;37.78;United States;Northern America;American Diabetes Association Inc.;1952-2021;"Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
50;26574;Annals of Internal Medicine;journal;15393704, 00034819;5.265;Q1;403;499;1682;10639;10672;957;6.22;21.32;United States;Northern America;American College of Physicians;1945-2021;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
51;12600154733;National Health Statistics Reports;journal;23328363, 21648344;5.264;Q1;76;12;35;0;390;35;6.48;0;United States;Northern America;U.S. National Center for Health Statistics;2008-2021;Public Health, Environmental and Occupational Health (Q1)
52;20151;Advances in Immunology;book series;00652776, 15578445;5.195;Q1;110;28;79;4692;473;77;6.91;167.57;United States;Northern America;Academic Press Inc.;1961, 1963-1964, 1966-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
53;15478;Journal of Experimental Psychology: General;journal;00963445, 19392222;5.095;Q1;168;41;109;2612;819;107;5.73;63.71;United States;Northern America;American Psychological Association;1975-2021;"Developmental Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)"
54;29183;Cancer Research;journal;00085472, 15387445;5.09;Q1;466;1468;4268;57037;36493;4217;8.11;38.85;United States;Northern America;American Association for Cancer Research Inc.;1941-2021;"Cancer Research (Q1); Oncology (Q1)"
55;18000;American Journal of Respiratory and Critical Care Medicine;journal;1073449X, 15354970;4.994;Q1;390;487;1565;15608;11592;1068;7.7;32.05;United States;Northern America;American Thoracic Society;1991, 1994-2021;"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)"
56;17664;American Journal of Psychiatry;journal;0002953X, 15357228;4.983;Q1;366;410;1453;11745;10513;967;6.65;28.65;United States;Northern America;American Psychiatric Association;1945-2021;Psychiatry and Mental Health (Q1)
