Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;73008;Vital and health statistics. Series 2, Data evaluation and methods research;journal;00832057, 23330872;8.901;Q1;28;23;3;1015;34;3;11.33;44.13;United States;Northern America;U.S. National Center for Health Statistics;1965, 1970, 1977-1982, 1985-1989, 1991-1994, 1996-2001, 2003-2006, 2008, 2010-2021;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
2;19434;MMWR Recommendations and Reports;journal;10575987, 15458601;8.09;Q1;148;3;10;0;303;10;29.4;0;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3;110092;Morbidity and Mortality Weekly Report;journal;01492195, 1545861X;6.035;Q1;228;285;888;2277;8443;825;9.6;7.99;United States;Northern America;Department of Health and Human Services;1981-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
4;71056;MMWR Surveillance Summaries;journal;15458636, 15460738;5.952;Q1;104;19;45;19;360;43;8;1;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
5;19799;American Journal of Sports Medicine;journal;03635465, 15523365;3.897;Q1;236;353;1057;10894;5805;892;4.95;30.86;United States;Northern America;SAGE Publications Inc.;1973-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
6;16101;Human Brain Mapping;journal;10659471, 10970193;3.802;Q1;199;226;689;14408;5172;681;6.61;63.75;United States;Northern America;Wiley-Liss Inc.;1993-2021;"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
7;15222;Arthroscopy - Journal of Arthroscopic and Related Surgery;journal;07498063, 15263231;3.161;Q1;172;274;810;6952;2918;623;3.19;25.37;United Kingdom;Western Europe;W.B. Saunders Ltd;1985-2021;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
8;21100241208;Bone and Joint Journal;journal;20494408, 20494394;2.656;Q1;189;321;887;9891;3541;863;3.58;30.81;United Kingdom;Western Europe;British Editorial Society of Bone and Joint Surgery;2013-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
9;20373;Sports Medicine;journal;01121642, 11792035;2.632;Q1;201;70;192;5657;1374;174;5.94;80.81;Switzerland;Western Europe;Springer International Publishing AG;1984-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
10;12198;Journal of Bone and Joint Surgery - Series A;journal;15351386, 00219355;2.598;Q1;274;510;1572;14304;5896;1336;3.31;28.05;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1946-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
