Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21191;Pharmacological Reviews;journal;15210081, 00316997;12.251;Q1;241;23;64;6417;1857;63;27.44;279;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1949, 1951-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
2;19479;Annual Review of Pharmacology and Toxicology;journal;15454304, 03621642;10.266;Q1;210;23;78;2986;1814;77;20.7;129.83;United States;Northern America;Annual Reviews Inc.;1965-1973, 1975-2021;"Pharmacology (Q1); Toxicology (Q1)"
3;22321;Trends in Pharmacological Sciences;journal;18733735, 01656147;3.919;Q1;225;154;448;4295;3276;348;6.31;27.89;United Kingdom;Western Europe;Elsevier Ltd.;1979-2021;"Pharmacology (Q1); Toxicology (Q1)"
4;13903;Cellular and Molecular Life Sciences;journal;1420682X, 14209071;3.18;Q1;233;196;592;18002;3216;573;5.2;91.85;Switzerland;Western Europe;Birkhauser Verlag Basel;1952, 1997-2021;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
5;21100456838;Cell Chemical Biology;journal;24519448, 24519456;3.046;Q1;190;165;354;6092;2095;332;5.81;36.92;United States;Northern America;Elsevier Inc.;2016-2021;"Biochemistry (Q1); Clinical Biochemistry (Q1); Drug Discovery (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
6;82448;Mutation Research - DNA Repair;journal;09218777;2.943;Q1;75;0;218;0;933;215;4.16;0;Netherlands;Western Europe;Elsevier BV;1989-2001;"Genetics (Q1); Molecular Biology (Q1); Toxicology (Q1)"
7;26371;Natural Product Reports;journal;02650568, 14604752;2.877;Q1;188;43;114;7090;641;113;5.92;164.88;United Kingdom;Western Europe;Royal Society of Chemistry;1984-2021;"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
8;19963;Molecular Pharmacology;journal;15210111, 0026895X;2.773;Q1;202;339;982;12909;5921;980;5.73;38.08;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1965-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
9;21195;Pharmacology and Therapeutics;journal;1879016X, 01637258;2.731;Q1;211;66;203;9004;1433;200;6.13;136.42;United States;Northern America;Elsevier Inc.;1975-1977, 1979-1985, 1987-2021;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
10;24032;Reviews of Physiology Biochemistry and Pharmacology;journal;16175786, 03034240;2.628;Q1;66;6;44;2012;228;44;5.62;335.33;Germany;Western Europe;Springer Verlag;1974-2008, 2012-2018;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
11;19615;Antimicrobial Agents and Chemotherapy;journal;10986596, 00664804;2.219;Q1;269;714;1926;19854;9421;1846;4.81;27.81;United States;Northern America;American Society for Microbiology;1963-1970, 1972-2021;"Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
12;18148;Pain;journal;18726623, 03043959;2.192;Q1;269;258;760;10532;4136;707;5.11;40.82;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1975-2021;"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
13;12455;Molecular Therapy;journal;15250024, 15250016;2.173;Q1;185;227;384;7374;2171;323;5.65;32.48;United States;Northern America;Cell Press;2000-2021;"Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
14;18017;Neuropsychopharmacology;journal;0893133X, 1470634X;2.161;Q1;227;203;511;9564;2499;477;4.6;47.11;United Kingdom;Western Europe;Nature Publishing Group;1987-2021;"Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
15;19427;Advances in Pharmacology;journal;15578925, 10543589;2.06;Q1;78;0;46;0;159;37;2.97;0;United States;Northern America;Academic Press Inc.;1962-1964, 1966-1973, 1975, 1977-1982, 1984, 1990-2000, 2004-2021;"Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
16;23488;Current Medicinal Chemistry;journal;09298673, 1875533X;2.023;Q1;183;147;263;15518;1517;241;4.98;105.56;United Arab Emirates;Middle East;Bentham Science Publishers B.V.;1994-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
17;20435;Neuropharmacology;journal;00283908, 18737064;1.892;Q1;176;248;694;10924;2868;694;3.55;44.05;United Kingdom;Western Europe;Elsevier Ltd.;1962-2021;"Cellular and Molecular Neuroscience (Q1); Pharmacology (Q1)"
18;130044;Pharmacogenetics and Genomics;journal;17446880, 17446872;1.881;-;144;99;274;3006;1595;269;6.06;30.36;United States;Northern America;Lippincott Williams and Wilkins Ltd.;2005-2021;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1); Molecular Biology (Q2)"
19;19907;Medicinal Research Reviews;journal;01986325, 10981128;1.869;Q1;134;26;84;3534;481;83;6.92;135.92;United States;Northern America;"John Wiley &amp; Sons Inc.";1981-2021;"Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
20;25152;Journal of Toxicology and Environmental Health - Part B: Critical Reviews;journal;10937404, 15216950;1.732;Q1;89;4;31;616;156;30;5.21;154;United Kingdom;Western Europe;Taylor and Francis Ltd.;1998-2021;"Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)"
21;23041;Journal of Medicinal Chemistry;journal;00222623, 15204804;1.709;Q1;276;609;1591;24619;7593;1508;4.66;40.43;United States;Northern America;American Chemical Society;1959-1961, 1963-2021;"Drug Discovery (Q1); Molecular Medicine (Q1)"
