Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2015);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;14181;Annual Review of Neuroscience;journal;0147006X, 15454126;16.464;Q1;248;21;76;2862;1791;75;16.45;136.29;United States;Northern America;Annual Reviews Inc.;1978-2021;Neuroscience (miscellaneous) (Q1)
2;17437;Nature Reviews Neuroscience;journal;14710048, 1471003X;14.865;Q1;434;130;525;9212;6779;277;13.54;70.86;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Neuroscience (miscellaneous) (Q1)
3;17436;Nature Neuroscience;journal;10976256, 15461726;13.47;Q1;437;310;874;14862;13115;803;14.93;47.94;United Kingdom;Western Europe;Nature Publishing Group;1998-2021;Neuroscience (miscellaneous) (Q1)
4;17978;Neuron;journal;10974199, 08966273;11.412;Q1;493;490;1405;31204;18913;1402;12.38;63.68;United States;Northern America;Cell Press;1988-2021;Neuroscience (miscellaneous) (Q1)
5;15359;Trends in Cognitive Sciences;journal;1879307X, 13646613;10.312;Q1;326;122;357;7620;4794;252;11.74;62.46;United Kingdom;Western Europe;Elsevier Ltd.;1997-2021;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
6;19939;Trends in Neurosciences;journal;03785912, 01662236, 1878108X;8.582;Q1;301;88;238;7801;3291;223;12.47;88.65;United Kingdom;Western Europe;Elsevier Ltd.;1978-2021;Neuroscience (miscellaneous) (Q1)
7;21100242814;eLife;journal;2050084X;7.741;Q1;161;997;1001;53782;7529;934;7.5;53.94;United Kingdom;Western Europe;eLife Sciences Publications;2012-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
8;17435;EMBO Journal;journal;02614189, 14602075;7.42;Q1;405;249;940;13450;7793;929;7.71;54.02;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
9;17552;Acta Neuropathologica;journal;00016322, 14320533;6.879;Q1;184;135;435;8400;4378;363;9.68;62.22;Germany;Western Europe;Springer Verlag;1961-2021;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;17382;Molecular Psychiatry;journal;14765578, 13594184;6.768;Q1;225;192;548;11308;5564;407;9.51;58.9;United Kingdom;Western Europe;Nature Publishing Group;1996-2021;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
