Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;29993;Annual Review of Nutrition;book series;01999885, 15454312;4.535;Q1;142;24;70;2740;848;67;9.80;114,17;United States;Annual Reviews Inc.;1981-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
2;25491;Diabetes Care;journal;01495992;4.074;Q1;328;642;1990;16040;13697;1427;9.58;24,98;United States;American Diabetes Association;1978-ongoing;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
3;20618;Stroke;journal;15244628, 00392499;3.447;Q1;292;629;1951;13733;10685;1552;6.47;21,83;United States;Lippincott Williams & Wilkins Ltd.;1970-ongoing;"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
4;29990;American Journal of Clinical Nutrition;journal;00029165;2.8289999999999997;Q1;307;464;1243;16523;7932;1058;7.06;35,61;United States;American Society for Clinical Nutrition, Inc.;1952-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
5;12697;International Journal of Obesity;journal;03070565, 14765497;2.2030000000000003;Q1;204;249;802;8821;4107;772;5.38;35,43;United Kingdom;Nature Publishing Group;1977-ongoing;"Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
6;19064;Resuscitation;journal;03009572;2.0709999999999997;Q1;123;238;586;8087;1610;489;3.29;33,98;Netherlands;Elsevier BV;1972-1976, 1978-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Emergency Medicine (Q1); Emergency Nursing (Q1)"
7;23140;Current Opinion in Lipidology;journal;14736535, 09579672;2.026;Q1;116;92;316;3487;1199;239;5.25;37,90;United States;Lippincott Williams & Wilkins Ltd.;1990-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q1); Genetics (Q1); Nutrition and Dietetics (Q1); Cell Biology (Q2); Molecular Biology (Q2)"
8;4700152825;Obesity;journal;19307381;1.8430000000000002;Q1;177;274;687;10709;3220;652;4.76;39,08;United States;Wiley-Blackwell;2006-ongoing;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
9;29070;The Gerontologist;journal;00169013;1.558;Q1;119;101;304;3341;1003;286;3.23;33,08;United States;Gerontological Society of America;1961, 1964-ongoing;"Geriatrics and Gerontology (Q1); Gerontology (Q1); Medicine (miscellaneous) (Q1)"
10;22130;Obesity Surgery;journal;09608923;1.5419999999999998;Q1;128;262;557;5687;2546;496;4.85;21,71;United States;Springer New York LLC;1992-ongoing;"Endocrinology, Diabetes and Metabolism (Q1); Nutrition and Dietetics (Q1); Surgery (Q1)"
11;12716;Journal of Nutrition;journal;15416100, 00223166;1.534;Q1;240;538;1982;19645;8010;1929;4.05;36,51;United States;American Society for Nutritional Sciences;1945-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
12;29561;Journals of Gerontology - Series B Psychological Sciences and Social Sciences;journal;10795014;1.5090000000000001;Q1;133;117;267;4591;804;249;2.78;39,24;United States;Gerontological Society of America;1995-ongoing;"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1)"
13;25334;Journal of Substance Abuse Treatment;journal;07405472;1.344;Q1;93;90;242;3264;646;230;2.28;36,27;Netherlands;Elsevier BV;1984-ongoing;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
14;27997;Public Health Nutrition;journal;14752727, 13689800;1.311;Q1;122;161;399;5827;1008;370;2.16;36,19;United Kingdom;Cambridge University Press;1998-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Public Health, Environmental and Occupational Health (Q1)"
15;16790;Journal of Pain and Symptom Management;journal;08853924;1.228;Q1;129;166;527;5096;1470;397;3.52;30,70;Netherlands;Elsevier BV;1986-ongoing;"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
16;30025;British Journal of Nutrition;journal;00071145, 14752662;1.156;Q1;166;283;748;12144;2588;696;3.36;42,91;United Kingdom;Cambridge University Press;1947-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
17;12538;European Journal of Clinical Nutrition;journal;09543007;1.124;Q1;141;246;736;8367;2058;712;2.61;34,01;United Kingdom;Nature Publishing Group;1988-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
18;29976;Journal of the American College of Nutrition;journal;15411087, 07315724;1.117;Q1;110;72;238;3130;832;235;2.89;43,47;United Kingdom;Taylor & Francis;1982-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
19;13345;Nutrition Reviews;journal;00296643;1.103;Q1;131;76;299;3458;875;281;2.95;45,50;United States;Oxford University Press;1947, 1950-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
20;23091;Congestive Heart Failure;journal;15275299;1.102;Q1;39;55;160;517;255;132;1.92;9,40;United States;Le Jacq Communications, Inc.;1996-2013;"Cardiology and Cardiovascular Medicine (Q1); Emergency Medicine (Q1); Emergency Nursing (Q1)"
21;12719;Journal of Nutritional Biochemistry;journal;09552863;1.089;Q1;118;106;276;4746;906;269;2.80;44,77;Netherlands;Elsevier BV;1990-ongoing;"Clinical Biochemistry (Q1); Endocrinology, Diabetes and Metabolism (Q1); Nutrition and Dietetics (Q1); Biochemistry (Q2); Molecular Biology (Q3)"
22;38138;Current Opinion in Clinical Nutrition and Metabolic Care;journal;13631950, 14736519;1.081;Q1;98;101;289;4032;893;258;3.41;39,92;United States;Lippincott Williams & Wilkins Ltd.;1998-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
