Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23571;Science;journal;10959203, 00368075;10.814;Q1;1229;2493;6948;39072;79136;4809;10.85;15.67;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2021;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;16036;Administrative Science Quarterly;journal;00018392, 19303815;10.802;Q1;191;22;72;1628;380;72;3.43;74;United States;Northern America;Johnson School at Cornell University;1975-1987, 1989-1990, 1993-1994, 1996-2021;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
3;13467;Psychological Review;journal;19391471, 0033295X;5.915;Q1;220;41;114;3836;892;113;6.86;93.56;United States;Northern America;American Psychological Association;1894-2021;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
4;13443;Psychological Bulletin;journal;00332909, 19391455;5.35;Q1;328;43;130;7291;1049;130;6.72;169.56;United States;Northern America;American Psychological Association;1904-2021;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
5;22899;Journal of Consumer Research;journal;00935301, 15375277;3.979;Q1;194;60;106;2737;321;106;2.56;45.62;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
6;12996;IEEE Signal Processing Magazine;journal;10535888;3.26;Q1;191;43;125;1036;572;96;4.87;24.09;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1991-2021;"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)"
7;28973;Journal of Econometrics;journal;03044076;2.772;Q1;166;95;214;3097;329;213;1.28;32.6;Netherlands;Western Europe;Elsevier BV;1973-2021;"Applied Mathematics (Q1); Economics and Econometrics (Q1); History and Philosophy of Science (Q1)"
8;26239;Quaternary Science Reviews;journal;02773791;2.398;Q1;192;138;376;8851;1150;365;3.13;64.14;United Kingdom;Western Europe;Elsevier Ltd.;1982-2021;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
9;15481;Journal of Experimental Psychology: Human Perception and Performance;journal;00961523, 19391277;2.327;Q1;152;92;326;4840;830;326;2.12;52.61;United States;Northern America;American Psychological Association;1975-2021;"Arts and Humanities (miscellaneous) (Q1); Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)"
10;25793;Quaternary Research;journal;00335894;2.192;Q1;118;89;231;3518;624;229;2.52;39.53;United States;Northern America;Cambridge University Press;1970-2021;"Arts and Humanities (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1)"
