Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2014);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;12010;Annual Review of Psychology;journal;00664308, 15452085;12.557;Q1;216;27;68;4500;1972;65;26.9;166.67;United States;Annual Reviews Inc.;1950-1958, 1960-1963, 1965-ongoing;Psychology (miscellaneous) (Q1)
2;15359;Trends in Cognitive Sciences;journal;13646613;11.326;Q1;276;114;336;5999;4823;234;16.65;52.62;Netherlands;Elsevier BV;1997-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
3;19700182323;Perspectives on Psychological Science;journal;17456916, 17456924;8.219;Q1;115;62;202;4205;2598;196;10.43;67.82;United States;SAGE Publications;2006-ongoing;Psychology (miscellaneous) (Q1)
4;12817;Personnel Psychology;journal;00315826;7.754;Q1;124;28;81;2428;653;77;5.4;86.71;United States;Wiley-Blackwell;1948-ongoing;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
5;13443;Psychological Bulletin;journal;00332909;7.645;Q1;272;63;173;10821;2303;135;13.98;171.76;United States;American Psychological Association;1904-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
6;15388;Journal of Applied Psychology;journal;00219010;7.373;Q1;249;92;264;7499;1952;249;6.14;81.51;United States;American Psychological Association;1917-ongoing;Applied Psychology (Q1)
7;12812;Personality and Social Psychology Review;journal;10888683, 15327957;7.082;Q1;134;20;55;3038;658;55;9.26;151.90;United States;SAGE Publications;1997-ongoing;Social Psychology (Q1)
8;13467;Psychological Review;journal;0033295X;6.575;Q1;192;32;121;3282;991;100;8.32;102.56;United States;American Psychological Association;1894-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
9;4600151524;Annual Review of Clinical Psychology;book series;15485951, 15485943;6.546;Q1;103;28;67;3745;1101;66;15.11;133.75;United States;Annual Reviews Inc.;2005-ongoing;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
10;13461;Psychological Methods;journal;1082989X;5.693;Q1;131;35;108;1897;868;98;8.14;54.20;United States;American Psychological Association;1996-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
11;30039;Journal of Personality and Social Psychology;journal;00223514;5.578;Q1;328;122;456;10011;3268;419;6.37;82.06;United States;American Psychological Association;1965-ongoing;"Social Psychology (Q1); Sociology and Political Science (Q1)"
12;18045;Neuroscience and Biobehavioral Reviews;journal;01497634;5.054;Q1;209;210;523;33629;5590;496;10.2;160.14;United Kingdom;Elsevier Ltd.;1978-ongoing;"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
13;13969;Psychological Science in the Public Interest, Supplement;journal;15291006;4.747;Q1;48;6;20;855;261;15;17.1;142.50;United States;SAGE Publications Inc.;2000-ongoing;Psychology (miscellaneous) (Q1)
14;4100151532;Advances in Experimental Social Psychology;book series;00652601;4.666;Q1;78;10;28;1945;205;12;11.5;194.50;United States;Elsevier Inc.;1964, 1966-1967, 1969-1970, 1972, 1974-1984, 1986-1992, 1994-ongoing;Social Psychology (Q1)
15;13564;Educational Psychologist;journal;15326985, 00461520;4.646;Q1;110;15;53;1897;449;51;5.97;126.47;United States;Lawrence Erlbaum Associates Inc.;1963-ongoing;Developmental and Educational Psychology (Q1)
