Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;12010;Annual Review of Psychology;journal;00664308, 15452085;10.331;Q1;216;24;78;3475;2120;78;22.46;144.79;United States;Annual Reviews Inc.;1950-1958, 1960-1963, 1965-ongoing;Psychology (miscellaneous) (Q1)
2;15359;Trends in Cognitive Sciences;journal;13646613;8.81;Q1;276;87;264;5721;2968;188;15.76;65.76;Netherlands;Elsevier BV;1997-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
3;13443;Psychological Bulletin;journal;00332909;7.328;Q1;272;56;132;8369;2039;129;14.25;149.45;United States;American Psychological Association;1904-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
4;4600151524;Annual Review of Clinical Psychology;book series;15485951, 15485943;5.905;Q1;103;20;61;2608;784;60;11.18;130.40;United States;Annual Reviews Inc.;2005-ongoing;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
5;15388;Journal of Applied Psychology;journal;00219010;5.781;Q1;249;94;305;7979;2142;304;5.72;84.88;United States;American Psychological Association;1917-ongoing;Applied Psychology (Q1)
6;30039;Journal of Personality and Social Psychology;journal;00223514;5.546;Q1;328;160;424;11555;3208;422;6.67;72.22;United States;American Psychological Association;1965-ongoing;"Social Psychology (Q1); Sociology and Political Science (Q1)"
7;12817;Personnel Psychology;journal;00315826;5.376;Q1;124;29;76;2633;371;76;3.11;90.79;United States;Wiley-Blackwell;1948-ongoing;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
8;13969;Psychological Science in the Public Interest, Supplement;journal;15291006;5.332;Q1;48;7;20;1240;192;10;12.38;177.14;United States;SAGE Publications Inc.;2000-ongoing;Psychology (miscellaneous) (Q1)
9;12812;Personality and Social Psychology Review;journal;10888683, 15327957;5.031;Q1;134;16;64;2664;496;62;6.96;166.50;United States;SAGE Publications;1997-ongoing;Social Psychology (Q1)
10;18045;Neuroscience and Biobehavioral Reviews;journal;01497634;4.922;Q1;209;150;332;21338;3477;317;10.17;142.25;United Kingdom;Elsevier Ltd.;1978-ongoing;"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
