Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19479;Annual Review of Pharmacology and Toxicology;journal;15454304, 03621642;10.673;Q1;210;26;54;3020;1317;54;24.54;116.15;United States;Northern America;Annual Reviews Inc.;1965-1973, 1975-2021;"Pharmacology (Q1); Toxicology (Q1)"
2;21191;Pharmacological Reviews;journal;15210081, 00316997;10.673;Q1;241;36;74;12166;1833;74;25.73;337.94;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1949, 1951-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
3;4700152457;Nano Today;journal;17480132;7.995;Q1;155;65;176;4074;2276;128;11.47;62.68;Netherlands;Western Europe;Elsevier;1970, 2006-2021;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
4;20425;Nature Reviews Drug Discovery;journal;14741784, 14741776;6.54;Q1;348;219;663;7676;7040;437;10.58;35.05;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
5;22321;Trends in Pharmacological Sciences;journal;18733735, 01656147;5.103;Q1;225;86;252;5885;2967;238;10.47;68.43;United Kingdom;Western Europe;Elsevier Ltd.;1979-2021;"Pharmacology (Q1); Toxicology (Q1)"
6;18017;Neuropsychopharmacology;journal;0893133X, 1470634X;4.716;Q1;227;282;758;18037;6205;723;8.23;63.96;United Kingdom;Western Europe;Nature Publishing Group;1987-2021;"Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
7;19409;Advanced Drug Delivery Reviews;journal;0169409X, 18728294;4.499;Q1;331;180;380;22774;5298;337;13.46;126.52;Netherlands;Western Europe;Elsevier;1987-2021;Pharmaceutical Science (Q1)
8;21195;Pharmacology and Therapeutics;journal;1879016X, 01637258;3.668;Q1;211;108;307;19821;3129;303;9.37;183.53;United States;Northern America;Elsevier Inc.;1975-1977, 1979-1985, 1987-2021;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
9;26371;Natural Product Reports;journal;02650568, 14604752;3.623;Q1;188;72;242;10736;2492;233;9.99;149.11;United Kingdom;Western Europe;Royal Society of Chemistry;1984-2021;"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)"
10;13903;Cellular and Molecular Life Sciences;journal;1420682X, 14209071;3.403;Q1;233;293;899;30443;6365;889;6.42;103.9;Switzerland;Western Europe;Birkhauser Verlag Basel;1952, 1997-2021;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
11;12611;Drug Resistance Updates;journal;13687646, 15322084;3.276;Q1;119;26;62;3117;624;60;10.13;119.88;United States;Northern America;Churchill Livingstone;1998-2021;"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
