Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;16721;"Annual Review of Plant Biology";book series;"15435008";18,547;Q1;235;23;83;3423;2917;83;28,70;148,83;United States;"Annual Reviews Inc.";"1996-ongoing";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
2;11300153736;"Annual Review of Pathology: Mechanisms of Disease";book series;"15534006, 15534014";12,927;Q1;105;21;58;2897;1293;58;22,17;137,95;United States;"Annual Reviews Inc.";"2006-ongoing";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
3;110325;"Annual Review of Ecology, Evolution, and Systematics";journal;"1543592X";11,483;Q1;194;30;79;255;1348;79;15,92;8,50;United States;"Annual Reviews Inc.";"2003-ongoing";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
4;14365;"Trends in Ecology and Evolution";journal;"01695347";11,146;Q1;312;130;331;6117;4447;236;18,56;47,05;Netherlands;"Elsevier BV";"1986-ongoing";"Ecology, Evolution, Behavior and Systematics (Q1)"
5;14599;"Ecology Letters";journal;"1461023X, 14610248";9,330;Q1;234;155;401;8672;4552;392;10,00;55,95;United Kingdom;"Blackwell Publishing Inc.";"1998-ongoing";"Ecology, Evolution, Behavior and Systematics (Q1)"
6;12977;"PLoS Biology";journal;"15449173, 15457885";8,744;Q1;234;267;854;11259;8413;810;9,56;42,17;United States;"Public Library of Science";"2003-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
7;14305;"Systematic Biology";journal;"1076836X, 10635157";8,162;Q1;166;69;179;4388;2143;171;11,15;63,59;United Kingdom;"Oxford University Press";"1992-ongoing";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
8;4700152228;"Molecular Systems Biology";journal;"17444292";7,621;Q1;127;109;272;5371;2595;260;8,70;49,28;United States;"Wiley-Blackwell";"2005-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
9;4000151808;"PLoS Genetics";journal;"15537390, 15537404";7,415;Q1;194;565;1232;32178;11286;1214;8,95;56,95;United States;"Public Library of Science";"2005-ongoing";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
10;17809;"Trends in Plant Science";journal;"13601385";6,376;Q1;233;88;275;6867;3169;252;12,26;78,03;Netherlands;"Elsevier BV";"1996-ongoing";"Plant Science (Q1)"
11;40944;"Genome Biology";journal;"1474760X, 14747596";6,213;Q1;207;214;666;8841;4962;624;8,48;41,31;United Kingdom;"BioMed Central";"2000-ongoing";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
12;28372;"Oceanography and Marine Biology: an annual review";book series;"00783218";6,211;Q1;48;8;27;1722;122;13;5,50;215,25;United Kingdom;"Taylor and Francis Ltd.";"1979, 1991-1997, 2005-2011";"Aquatic Science (Q1); Oceanography (Q1)"
13;16594;"Plant Cell";journal;"1532298X, 10404651";5,928;Q1;309;342;837;21081;7164;786;8,60;61,64;United States;"American Society of Plant Biologists";"1989-ongoing";"Cell Biology (Q1); Plant Science (Q1)"
14;19133;"Annual Review of Entomology";journal;"00664170, 15454487";5,850;Q1;178;26;82;3320;1094;81;12,82;127,69;United States;"Annual Reviews Inc.";"1961-1963, 1966-1967, 1969-1979, 1981-ongoing";"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
15;17924;"Current Opinion in Plant Biology";journal;"13695266";5,828;Q1;185;105;308;5806;3105;288;10,18;55,30;Netherlands;"Elsevier BV";"1998-ongoing";"Plant Science (Q1)"
