Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;20651;Annual Review of Immunology;journal;15453278, 07320582;38.095;Q1;309;28;69;4875;3940;69;41.56;174.11;United States;Northern America;Annual Reviews Inc.;1983-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
2;21315;Nature Immunology;journal;15292908, 15292916;18.857;Q1;403;282;618;7681;11414;522;18.44;27.24;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Immunology (Q1)
3;20798;Immunity;journal;10974180, 10747613;15.902;Q1;417;226;608;9913;10611;598;15.92;43.86;United States;Northern America;Cell Press;1994-2021;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
4;21318;Nature Reviews Immunology;journal;14741741, 14741733;12.601;Q1;417;167;561;8289;8291;410;13.87;49.63;United Kingdom;Western Europe;Nature Publishing Group;2001-2021;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
5;21272;Journal of Experimental Medicine;journal;00221007, 15409538;12.588;Q1;462;194;739;9726;11056;700;14.47;50.13;United States;Northern America;Rockefeller University Press;1909-1910, 1929, 1938, 1945-2021;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
6;16115;Nature Biotechnology;journal;15461696, 10870156;10.87;Q1;463;332;1077;5850;10582;550;10.67;17.62;United Kingdom;Western Europe;Nature Publishing Group;1989-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
7;20278;Microbiology and Molecular Biology Reviews;journal;10985557, 10922172;9.923;Q1;256;29;80;9233;1419;78;18.08;318.38;United States;Northern America;American Society for Microbiology;1997-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
8;19614;Annual Review of Microbiology;journal;00664227, 15453251;9.041;Q1;199;25;90;2951;1469;90;14.21;118.04;United States;Northern America;Annual Reviews Inc.;1948, 1950-1958, 1960, 1962-2020;Microbiology (Q1)
9;20810;Immunological Reviews;journal;01052896, 1600065X;8.842;Q1;234;108;345;15017;4858;331;13.75;139.05;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1969-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
10;12977;PLoS Biology;journal;15449173, 15457885;8.791;Q1;281;228;807;10180;8247;766;9.88;44.65;United States;Northern America;Public Library of Science;2003-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
