Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;17437;Nature Reviews Neuroscience;journal;14710048, 1471003X;14.78;Q1;434;147;404;9323;5575;214;11.97;63.42;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Neuroscience (miscellaneous) (Q1)
2;17436;Nature Neuroscience;journal;10976256, 15461726;13.723;Q1;437;239;682;11498;10690;630;14.32;48.11;United Kingdom;Western Europe;Nature Publishing Group;1998-2021;Neuroscience (miscellaneous) (Q1)
3;14181;Annual Review of Neuroscience;journal;0147006X, 15454126;10.311;Q1;248;23;72;3046;928;72;12.94;132.43;United States;Northern America;Annual Reviews Inc.;1978-2021;Neuroscience (miscellaneous) (Q1)
4;17978;Neuron;journal;10974199, 08966273;9.527;Q1;493;457;1505;27339;16661;1489;10.53;59.82;United States;Northern America;Cell Press;1988-2021;Neuroscience (miscellaneous) (Q1)
5;17552;Acta Neuropathologica;journal;00016322, 14320533;8.158;Q1;184;141;406;8981;6035;326;11.01;63.7;Germany;Western Europe;Springer Verlag;1961-2021;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
6;17435;EMBO Journal;journal;02614189, 14602075;7.086;Q1;405;276;733;15971;6161;646;7.93;57.87;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
7;21100356804;Lancet Psychiatry,The;journal;22150374, 22150366;6.967;Q1;107;313;945;5589;4161;231;3.31;17.86;United Kingdom;Western Europe;Elsevier Ltd.;2014-2021;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
8;15359;Trends in Cognitive Sciences;journal;1879307X, 13646613;6.948;Q1;326;116;348;8587;3927;289;10.25;74.03;United Kingdom;Western Europe;Elsevier Ltd.;1997-2021;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
9;17382;Molecular Psychiatry;journal;14765578, 13594184;6.29;Q1;225;154;673;11768;7037;610;9.87;76.42;United Kingdom;Western Europe;Nature Publishing Group;1996-2021;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
10;21100242814;eLife;journal;2050084X;6.079;Q1;161;1643;4036;103761;28352;3905;6.54;63.15;United Kingdom;Western Europe;eLife Sciences Publications;2012-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
11;14308;Biological Psychiatry;journal;00063223, 18732402;6.059;Q1;333;290;917;13541;6920;544;7.01;46.69;United States;Northern America;Elsevier USA;1969-2021;Biological Psychiatry (Q1)
12;3600148102;Alzheimer's and Dementia;journal;15525279, 15525260;6.012;Q1;135;156;416;7211;5440;393;13.3;46.22;United States;Northern America;"John Wiley &amp; Sons Inc.";2005-2021;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
13;15090;Progress in Retinal and Eye Research;journal;13509462, 18731635;5.834;Q1;164;41;129;11927;2031;129;15.47;290.9;United Kingdom;Western Europe;Elsevier Ltd.;1990-1991, 1993-2021;"Ophthalmology (Q1); Sensory Systems (Q1)"
14;17700156408;Nature Reviews Neurology;journal;17594766, 17594758;5.247;Q1;169;180;500;8279;3891;294;7.74;45.99;United Kingdom;Western Europe;Nature Publishing Group;2009-2021;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
15;14179;Annals of Neurology;journal;15318249, 03645134;4.9;Q1;308;209;693;7479;5382;532;7.15;35.78;United States;Northern America;"John Wiley &amp; Sons Inc.";1977-2021;"Neurology (Q1); Neurology (clinical) (Q1)"
16;19939;Trends in Neurosciences;journal;03785912, 01662236, 1878108X;4.871;Q1;301;90;273;7010;2392;264;7.57;77.89;United Kingdom;Western Europe;Elsevier Ltd.;1978-2021;Neuroscience (miscellaneous) (Q1)
17;12977;PLoS Biology;journal;15449173, 15457885;4.488;Q1;281;472;914;28451;6833;893;6.66;60.28;United States;Northern America;Public Library of Science;2003-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
18;14992;Current Opinion in Neurobiology;journal;09594388, 18736882;4.38;Q1;235;160;460;11115;2851;442;6.23;69.47;United Kingdom;Western Europe;Elsevier Ltd.;1991-2022;Neuroscience (miscellaneous) (Q1)
19;5700191214;Molecular Neurodegeneration;journal;17501326;4.04;Q1;93;50;225;5001;1993;225;9.1;100.02;United Kingdom;Western Europe;BioMed Central Ltd.;2006-2021;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
20;15537;Current Biology;journal;18790445, 09609822;3.958;Q1;331;802;2428;33493;13769;2240;5.46;41.76;United States;Northern America;Cell Press;1991-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
21;15370;Journal of Abnormal Psychology;journal;1939843X, 0021843X;3.809;Q1;204;89;271;3909;1761;264;6.65;43.92;United States;Northern America;American Psychological Association;1946-1959, 1963-2021;"Biological Psychiatry (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
22;28475;Ageing Research Reviews;journal;15681637;3.789;Q1;131;82;250;11762;2817;246;10.81;143.44;Ireland;Western Europe;Elsevier Ireland Ltd;2002-2021;"Aging (Q1); Biochemistry (Q1); Biotechnology (Q1); Molecular Biology (Q1); Neurology (Q1)"
23;16764;Journal of Neuroscience;journal;02706474, 15292401;3.701;Q1;471;777;2966;49137;16850;2806;5.19;63.24;United States;Northern America;Society for Neuroscience;1981-2021;Neuroscience (miscellaneous) (Q1)
24;18045;Neuroscience and Biobehavioral Reviews;journal;18737528, 01497634;3.672;Q1;255;333;909;47282;7948;871;8.18;141.99;United Kingdom;Western Europe;Elsevier Ltd.;1978-2021;"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
25;21100838541;Nature Human Behaviour;journal;23973374;3.664;Q1;63;262;429;6898;2309;225;5.38;26.33;United Kingdom;Western Europe;Nature Publishing Group;2017-2021;"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)"
26;19837;Sleep Medicine Reviews;journal;15322955, 10870792;3.567;Q1;155;88;256;5851;2426;213;9.06;66.49;United Kingdom;Western Europe;Elsevier BV;1997-2021;"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
