Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16801;Annual Review of Biochemistry;journal;15454509, 00664154;50.518;Q1;305;30;80;5913;3513;80;36.2;197.1;United States;Northern America;Annual Reviews Inc.;1946-1948, 1950-1960, 1962-2021;Biochemistry (Q1)
2;18434;Cell;journal;00928674, 10974172;43.449;Q1;814;351;1340;15964;48292;1332;34.68;45.48;United States;Northern America;Cell Press;1974-2021;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
3;18395;Annual Review of Cell and Developmental Biology;journal;15308995, 10810706;35.051;Q1;226;25;61;4134;1815;60;26.49;165.36;United States;Northern America;Annual Reviews Inc.;1995-2020;"Cell Biology (Q1); Developmental Biology (Q1)"
4;22126;Genes and Development;journal;15495477, 08909369;25.272;Q1;453;298;889;16623;17391;888;18.98;55.78;United States;Northern America;Cold Spring Harbor Laboratory Press;1987-2021;"Developmental Biology (Q1); Genetics (Q1)"
5;18503;Current Opinion in Cell Biology;journal;09550674, 18790410;21.691;Q1;267;104;318;5829;6602;298;22.57;56.05;United Kingdom;Western Europe;Elsevier Ltd.;1989-2021;Cell Biology (Q1)
6;18606;Molecular Cell;journal;10974164, 10972765;20.282;Q1;414;193;203;8814;3624;202;17.85;45.67;United States;Northern America;Cell Press;1997-2021;"Cell Biology (Q1); Molecular Biology (Q1)"
7;24004;Physiological Reviews;journal;15221210, 00319333;17.173;Q1;358;43;94;18222;2388;94;23.41;423.77;United States;Northern America;American Physiological Society;1945-2021;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
8;21706;Annual Review of Genetics;journal;15452948, 00664197;17.007;Q1;189;18;70;3409;989;70;9.94;189.39;United States;Northern America;Annual Reviews Inc.;1970-2020;Genetics (Q1)
9;14816;Trends in Biochemical Sciences;journal;13624326, 03765067, 09680004;15.126;Q1;281;129;405;4225;5526;323;13.5;32.75;United Kingdom;Western Europe;Elsevier Ltd.;1976-2021;"Biochemistry (Q1); Molecular Biology (Q1)"
10;17435;EMBO Journal;journal;02614189, 14602075;15.002;Q1;405;666;2150;35212;29859;2150;13.88;52.87;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
11;18990;Nature Genetics;journal;10614036, 15461718;14.31;Q1;597;364;1014;7588;18352;869;18.17;20.85;United Kingdom;Western Europe;Nature Publishing Group;1992-2021;Genetics (Q1)
12;18555;Journal of Cell Biology;journal;15408140, 00219525;14.107;Q1;394;457;1566;25592;20794;1563;13.17;56;United States;Northern America;Rockefeller University Press;1961-2021;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)"
13;16721;Annual Review of Plant Biology;journal;15452123, 15435008;13.979;Q1;272;24;82;3636;1580;82;17.41;151.5;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
14;20278;Microbiology and Molecular Biology Reviews;journal;10985557, 10922172;13.69;Q1;256;37;104;10337;1983;104;18.81;279.38;United States;Northern America;American Society for Microbiology;1997-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
15;22080;Current Opinion in Genetics and Development;journal;0959437X, 18790380;12.947;Q1;193;99;307;5375;3270;291;11.14;54.29;United Kingdom;Western Europe;Elsevier Ltd.;1991-2022;"Developmental Biology (Q1); Genetics (Q1)"
16;14531;Development (Cambridge);journal;14779129, 09501991;12.279;Q1;336;520;1383;27972;14233;1383;10.06;53.79;United Kingdom;Western Europe;Company of Biologists Ltd;1987-2021;"Developmental Biology (Q1); Molecular Biology (Q1)"
17;19066;Trends in Cell Biology;journal;09628924, 18793088;11.658;Q1;249;127;292;3890;3166;248;12.53;30.63;United Kingdom;Western Europe;Elsevier Ltd.;1991-2021;Cell Biology (Q1)
18;120008;Annual Review of Physiology;journal;00664278, 15451585;11.161;Q1;218;36;96;4920;1595;96;18.47;136.67;United States;Northern America;Annual Reviews Inc.;1946-2021;Physiology (Q1)
19;28690;Advances in Cancer Research;journal;0065230X;10.73;Q1;98;18;51;1536;781;51;16.83;85.33;United States;Northern America;Academic Press Inc.;1953-1956, 1958, 1961-1965, 1967-2021;"Cancer Research (Q1); Oncology (Q1)"
20;14150;Molecular and Cellular Biology;journal;02707306, 10985549;10.319;Q1;338;840;2246;49084;22223;2246;9.8;58.43;United States;Northern America;American Society for Microbiology;1981-2021;"Cell Biology (Q1); Molecular Biology (Q1)"
21;12000154482;Annual Review of Biophysics;journal;19361238, 1936122X;9.725;Q1;163;14;56;1732;649;55;11.83;123.71;United States;Northern America;Annual Reviews Inc.;2008-2021;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
22;19049;Trends in Genetics;journal;01689525, 13624555;9.388;Q1;231;154;432;4194;3546;323;9.39;27.23;United Kingdom;Western Europe;Elsevier Ltd.;1985-2021;Genetics (Q1)
23;15537;Current Biology;journal;18790445, 09609822;9.228;Q1;331;588;1204;10840;9126;1166;7.81;18.44;United States;Northern America;Cell Press;1991-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
24;80280;Biochimica et Biophysica Acta - Reviews on Cancer;journal;0304419X;9.146;Q1;144;34;118;965;1328;113;10.43;28.38;Netherlands;Western Europe;Elsevier;1974-2021;"Cancer Research (Q1); Genetics (Q1); Oncology (Q1)"
25;15819;Nature Medicine;journal;1546170X, 10788956;8.926;Q1;576;509;1538;7497;14856;930;9.35;14.73;United Kingdom;Western Europe;Nature Publishing Group;1995-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
26;16594;Plant Cell;journal;1532298X, 10404651;8.834;Q1;360;196;535;10669;5620;522;9.94;54.43;United States;Northern America;American Society of Plant Biologists;1989-2021;"Cell Biology (Q1); Plant Science (Q1)"
27;26038;Endocrine Reviews;journal;19457189, 0163769X;8.572;Q1;283;43;118;10901;2104;117;16.33;253.51;United States;Northern America;The Endocrine Society;1980-2021;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
28;12394;Nature Structural and Molecular Biology;journal;15459993, 15459985;8.539;Q1;281;253;671;5536;5216;605;7.87;21.88;United Kingdom;Western Europe;Nature Publishing Group;1998, 2004-2021;"Molecular Biology (Q1); Structural Biology (Q1)"
29;21191;Pharmacological Reviews;journal;15210081, 00316997;7.884;Q1;241;19;57;8938;935;57;15.39;470.42;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1949, 1951-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
30;18605;Molecular Biology of the Cell;journal;10591524, 19394586;7.716;Q1;234;312;600;17945;4529;599;7.23;57.52;United States;Northern America;American Society for Cell Biology;1990-2021;"Cell Biology (Q1); Molecular Biology (Q1)"
31;13174;BioEssays;journal;02659247, 15211878;7.147;Q1;191;130;427;7428;3048;415;7.31;57.14;United States;Northern America;"John Wiley &amp; Sons Inc.";1984-2021;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
32;26688;Recent Progress in Hormone Research;journal;00799963;6.812;Q1;78;19;57;313;598;57;9.74;16.47;United States;Northern America;The Endocrine Society;1947-1948, 1956-1958, 1960-1961, 1963-2004;Endocrinology (Q1)
33;14913;Quarterly Reviews of Biophysics;journal;00335835, 14698994;6.794;Q1;100;9;29;1537;290;29;6.79;170.78;United Kingdom;Western Europe;Cambridge University Press;1968-1985, 1987-2021;Biophysics (Q1)
34;14274;Structure;journal;09692126, 18784186;6.698;Q1;187;177;434;7950;3316;432;7.23;44.92;United States;Northern America;Cell Press;1993-2021;"Molecular Biology (Q1); Structural Biology (Q1)"
35;91309;Biochimica et Biophysica Acta - Reviews on Biomembranes;journal;03044157;6.632;Q1;53;9;45;1509;452;44;8.94;167.67;Netherlands;Western Europe;Elsevier BV;1972-2000;"Biophysics (Q1); Cell Biology (Q1)"
36;17592;Journal of Biological Chemistry;journal;00219258, 1083351X;6.161;Q1;528;5316;14517;235400;111156;14516;7.66;44.28;United States;Northern America;Elsevier Inc.;1945-2021;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
