Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;MMWR Recommendations and Reports;journal;10575987, 15458601;25.045;Q1;148;124;17;2900;663;17;33.79;23.39;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;58530;National Vital Statistics Reports;journal;15518922, 15518930;21.728;Q1;110;18;40;323;1377;40;32.48;17.94;United States;Northern America;Public Health Services, US Dept of Health and Human Services;1998-2021;Life-span and Life-course Studies (Q1)
3;16036;Administrative Science Quarterly;journal;00018392, 19303815;17.357;Q1;191;33;89;3592;1116;83;12.71;108.85;United States;Northern America;Johnson School at Cornell University;1975-1987, 1989-1990, 1993-1994, 1996-2021;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
4;110092;Morbidity and Mortality Weekly Report;journal;01492195, 1545861X;16.513;Q1;228;220;1081;1439;20212;772;23.02;6.54;United States;Northern America;Department of Health and Human Services;1981-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
5;71056;MMWR Surveillance Summaries;journal;15458636, 15460738;10.129;Q1;104;75;52;779;2267;47;29.11;10.39;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
6;24204;Review of Economics and Statistics;journal;00346535, 15309142;8.245;Q1;177;65;186;2947;1221;186;4.95;45.34;United States;Northern America;MIT Press Journals;1978-2021;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
7;22899;Journal of Consumer Research;journal;00935301, 15375277;7.117;Q1;194;58;166;3860;1470;164;7.33;66.55;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
8;16512;Review of Educational Research;journal;00346543, 19351046;6.887;Q1;163;31;71;3642;1272;70;14.81;117.48;United States;Northern America;SAGE Publications Inc.;1931-2021;Education (Q1)
9;21100198409;Nature Climate Change;journal;17586798, 1758678X;6.134;Q1;211;261;834;8747;12000;401;12.91;33.51;United Kingdom;Western Europe;Nature Publishing Group;2011-2021;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
10;16929;American Sociological Review;journal;00031224, 19398271;5.944;Q1;208;43;126;3846;1408;121;10.77;89.44;United States;Northern America;American Sociological Association;1965-2021;Sociology and Political Science (Q1)
