Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21318;Nature Reviews Immunology;journal;14741741, 14741733;20.611;Q1;417;143;433;8420;7265;187;14.54;58.88;United Kingdom;Western Europe;Nature Publishing Group;2001-2021;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
2;20651;Annual Review of Immunology;journal;15453278, 07320582;13.842;Q1;309;24;73;4127;1601;73;19.94;171.96;United States;Northern America;Annual Reviews Inc.;1983-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
3;20313;Nature Reviews Microbiology;journal;17401534, 17401526;13.16;Q1;323;172;438;7737;6288;234;12.58;44.98;United Kingdom;Western Europe;Nature Publishing Group;2003-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
4;16115;Nature Biotechnology;journal;15461696, 10870156;12.565;Q1;463;356;1019;7210;11698;680;10.31;20.25;United Kingdom;Western Europe;Nature Publishing Group;1989-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
5;20798;Immunity;journal;10974180, 10747613;11.977;Q1;417;250;748;14920;11548;731;13.43;59.68;United States;Northern America;Cell Press;1994-2021;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
6;21315;Nature Immunology;journal;15292908, 15292916;9.283;Q1;403;261;685;8032;8048;607;9.14;30.77;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
7;19651;Clinical Microbiology Reviews;journal;08938512, 10986618;8.664;Q1;296;36;96;9498;2122;95;22.3;263.83;United States;Northern America;American Society for Microbiology;1988-2021;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
8;21100860945;Science immunology;journal;24709468;8.014;Q1;73;109;242;4944;2277;218;8.92;45.36;United States;Northern America;American Association for the Advancement of Science;2016-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
9;21100773752;Nature Microbiology;journal;20585276;7.922;Q1;102;295;657;13525;6772;528;9.51;45.85;United Kingdom;Western Europe;Nature Publishing Group;2016-2021;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
10;21272;Journal of Experimental Medicine;journal;00221007, 15409538;7.757;Q1;462;212;676;12126;7189;645;10.37;57.2;United States;Northern America;Rockefeller University Press;1909-1910, 1929, 1938, 1945-2021;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
